date,pid,price,regular,promo,label,until
2026-09-16,182075,17.90,17.90,0,,
2026-09-16,182124,1.19,1.19,0,,
2026-09-16,182172,1.19,1.19,0,,
2026-09-16,182295,1.19,1.19,0,,
2026-09-16,182568,7.99,7.99,0,,
2026-09-16,182589,11.89,11.89,0,,
2026-09-16,182603,3.95,3.95,0,,
2026-09-16,182719,2.99,2.99,0,,
2026-09-16,182727,3.15,3.15,0,,
2026-09-16,182804,4.99,4.99,0,,
2026-09-16,183016,7.99,7.99,0,,
2026-09-16,186886,2.99,2.99,0,,
2026-09-16,186912,0.75,0.75,0,,
2026-09-16,187048,2.49,2.49,0,,
2026-09-16,187113,0.75,0.75,0,,
2026-09-16,187151,1.55,1.55,0,,
2026-09-16,187441,0.72,0.72,0,,
2026-09-16,187492,2.49,2.49,0,,
2026-09-16,187699,1.79,1.79,0,,
2026-09-16,188682,1.19,1.19,0,,
2026-09-16,191192,2.95,2.95,0,,
2026-09-16,191385,5.95,5.95,0,,
2026-09-16,191626,3.59,3.59,0,,
2026-09-16,191673,11.59,11.59,0,,
2026-09-16,192129,1.39,1.39,0,,
2026-09-16,192131,0.95,0.95,0,,
2026-09-16,193905,0.79,0.79,0,,
2026-09-16,193906,3.15,3.15,0,,
2026-09-16,194341,0.55,0.55,0,,
2026-09-16,199241,8.49,8.49,0,,
2026-09-16,199337,3.99,3.99,0,,
2026-09-16,199784,2.99,2.99,0,,
2026-09-16,200107,6.99,6.99,0,,
2026-09-16,200178,7.99,7.99,0,,
2026-09-16,200518,3.75,3.75,0,,
2026-09-16,200663,2.89,2.89,0,,
2026-09-16,200759,2.85,2.85,0,,
2026-09-16,201106,1.15,1.15,0,,
2026-09-16,202064,3.12,3.12,0,,
2026-09-16,202753,2.05,2.05,0,,
2026-09-16,202962,3.49,3.49,0,,
2026-09-16,210693,8.99,8.99,0,,
2026-09-16,210784,3.99,3.99,0,,
2026-09-16,211074,1.79,1.79,0,,
2026-09-16,261192,8.99,8.99,0,,
2026-09-16,261240,7.39,7.39,0,,
2026-09-16,262748,3.99,3.99,0,,
2026-09-16,263006,18.99,18.99,0,,
2026-09-16,267461,9.69,9.69,0,,
2026-09-16,269051,2.45,2.45,0,,
2026-09-16,270640,5.99,5.99,0,,
2026-09-16,271448,2.29,2.29,0,,
2026-09-16,271754,3.99,3.99,0,,
2026-09-16,272312,7.99,7.99,0,,
2026-09-16,272314,3.49,3.49,0,,
2026-09-16,276280,4.20,4.20,0,,
2026-09-16,276454,6.59,6.59,0,,
2026-09-16,279506,6.39,6.39,0,,
2026-09-16,282271,4.89,4.89,0,,
2026-09-16,285689,3.99,3.99,0,,
2026-09-16,287819,1.08,1.08,0,,
2026-09-16,287831,1.33,1.33,0,,
2026-09-16,287843,6.49,6.49,0,,
2026-09-16,287844,6.39,6.39,0,,
2026-09-16,287853,7.39,7.39,0,,
2026-09-16,287854,5.99,5.99,0,,
2026-09-16,287855,17.90,17.90,0,,
2026-09-16,287867,11.95,11.95,0,,
2026-09-16,287868,19.99,19.99,0,,
2026-09-16,287879,9.39,9.39,0,,
2026-09-16,287880,7.95,7.95,0,,
2026-09-16,287884,3.55,3.55,0,,
2026-09-16,287894,5.99,5.99,0,,
